what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.edit,2.12.0.v20160526-0356,"org.eclipse.emf.edit",1486708492140
started,bundle,org.eclipse.emf.edit.ui,2.12.0.v20160526-0356,"org.eclipse.emf.edit.ui",1486708492150
started,bundle,org.eclipse.jgit,2.1.0.201209190230-r,"org.eclipse.jgit",1486708492151
os,sysinfo,,,"macosx",1486708492169
arch,sysinfo,,,"x86_64",1486708492169
ws,sysinfo,,,"cocoa",1486708492169
locale,sysinfo,,,"en_US",1486708492169
processors,sysinfo,,,"4",1486708492169
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1486708492169
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1486708492169
java.specification.name,sysinfo,,,"Java Platform API Specification",1486708492169
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486708492169
java.specification.version,sysinfo,,,"1.6",1486708492169
java.vendor,sysinfo,,,"Apple Inc.",1486708492169
java.version,sysinfo,,,"1.6.0_65",1486708492169
java.vm.info,sysinfo,,,"mixed mode",1486708492169
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1486708492169
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1486708492169
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486708492169
java.vm.specification.version,sysinfo,,,"1.0",1486708492169
java.vm.vendor,sysinfo,,,"Apple Inc.",1486708492169
java.vm.version,sysinfo,,,"20.65-b04-468",1486708492169
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1486708492388
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1486708492619
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1486708492641
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1486708492724
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1486708492793
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1486708492925
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486708500206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486708503585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486708507291
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1486708511442
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1486708511444
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1486708511512
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1486708511514
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1486708511919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486708516122
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1486708517299
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1486708517304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486708519624
