what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487311671257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487311695222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1487311695267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487311751902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487311756977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1487311761495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1487311763459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487311779515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487311783652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487311783860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487311784052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487311785309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1487311786220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1487311787264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487311789300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487311790000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487311831385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487311833488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487311833641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487311834574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487311837027
