what,kind,bundleId,bundleVersion,description,time
error,log,,,"Could not write metadata for '/Servers'.",1485698406119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698406179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698406357
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1485698406376
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1485698406713
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1485698408594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698408680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698410393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698462031
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485698464209
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1485698464505
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1485698464510
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1485698468868
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1485698468870
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1485698471311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698475571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698489861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698490908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698497102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1485698499490
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485698503479
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1485698503746
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485698503839
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1485698503984
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485698510756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698511708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698521268
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485698521316
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485698523283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698525579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698526902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698532851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698538741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1485698540520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698545638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698546710
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1485698546783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698547127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698549024
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485698554525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698555581
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1485698708050
error,log,,,"Could not write metadata for '/Servers'.",1485698708148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698788732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698790021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698799888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485698806954
error,log,,,"Could not write metadata for '/Servers'.",1485698832596
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1485698835927
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1485698835945
