what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487272389020
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1487272397695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272403985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272407236
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.debug",1487272407700
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1487272408761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272416101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272418173
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487272418714
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1487272420300
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1487272423606
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1487272424238
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1487272424338
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1487272424692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272429348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272446559
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1487272447680
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1487272450546
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1487272450811
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487272457018
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1487272457789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272460856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272547573
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1487272551331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272557726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1487272558050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272566774
error,log,,,"Could not write metadata for '/Servers'.",1487272575091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272581238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272616890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272654480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272669296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1487272732731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272737530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487272738302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487272742347
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1487272743448
