what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485609327452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485609581416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1485609587268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485609594263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485609597563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485609607055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485609613343
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485609613497
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485609613522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485609615684
error,log,,,"Could not write metadata for '/Servers'.",1485609625217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485609653495
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1485609657489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1485609660090
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485609668199
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1485609676687
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485609676688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485609681034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485609682742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485609682795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485609687971
