what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274185479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274250196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274258113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1487274258183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274276074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274304888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1487274304965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274306659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487274311134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274311839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274316560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274318590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274322328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274324919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274325124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1487274337119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487274344099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1487274345937
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.textEnd",1487274348181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1487274350812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1487274361061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1487274366521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1487274380945
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1487274386651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274389628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274398357
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1487274406292
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1487274407214
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1487274407381
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1487274408974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274411388
error,log,,,"Could not write metadata for '/Servers'.",1487274420464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274433676
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1487274436189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274438408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274439257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274449122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1487274449196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274457971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1487274526335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1487274528270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487274533839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487274535287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1487274536637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1487274552059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487274573134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1487274581668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1487274588403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274598354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487274600807
